"Id","Name","Hex__c"
"a1k4x000002iUeAAAU","Tri Kelly","#008C72"
"a1k4x000002iUeBAAU","Solid Charcoal","#3c3c40"
"a1k4x000002iUeCAAU","Tri Denim","#a4c3de"
"a1k4x000002iUeDAAU","Tri Hunter Green","#24472d"
"a1k4x000002iUeEAAU","Tri Orange","#f15b21"
"a1k4x000002iUeFAAU","Tri Olive","#24472d"
"a1k4x000002iUeGAAU","Vegas Gold/ Black","#e4cf9b"
"a1k4x000002iUeHAAU","Orange/ Black","#ea542a"
"a1k4x000002iUeIAAU","Royal/ Black","#425ba9"
"a1k4x000002iUeJAAU","White/ Black","#e8e8e8"
"a1k4x000002iUeKAAU","Red/ Black","#be2432"
"a1k4x000002iUeLAAU","Black/ White","#262228"
"a1k4x000002iUeMAAU","Navy/ White","#303346"
"a1k4x000002iUeNAAU","Black","#1a151a"
"a1k4x000002iUeOAAU","Dark Oxford","#312f30"
"a1k4x000002iUePAAU","Eco True Army Green","#5f5f49"
"a1k4x000002iUeQAAU","Eco True Black","#120c10"
"a1k4x000002iUeRAAU","Stars","#120c10"
"a1k4x000002iUeSAAU","Eco Grey","#7D7E83"
"a1k4x000002iUeTAAU","Eco Light Grey","#E4E2E7"
"a1k4x000002iUeUAAU","Camo","#5C524C"
"a1k4x000002iUeVAAU","Eco Grey Stars","#D3D7DF"
"a1k4x000002iUeWAAU","Eco Rose Quartz","#daaa96"
"a1k4x000002iUeXAAU","Eco Black","#5F5B50"
"a1k4x000002iUeYAAU","Eco White","#e8e8e8"
"a1k4x000002iUeZAAU","Eco True Navy","#424E6A"
"a1k4x000002iUeaAAE","Eco True Red","#F14D62"
"a1k4x000002iUebAAE","Eco Black","#5F5B50"
"a1k4x000002iUecAAE","Camo","#5C524C"
"a1k4x000002iUedAAE","Eco Light Grey","#E4E2E7"
"a1k4x000002iUeeAAE","Eco True Camel","#F3E5C5"
"a1k4x000002iUefAAE","Eco Aqua","#000000"
